Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Company
532540,TCS,Tata Consultancy Services Ltd,27 Jul 2007,Interim Dividend - Rs. - 3.0000,30 Jul 2007,-,-,23 Jul 2007,27 Jul 2007,-,TCS
532540,TCS,Tata Consultancy Services Ltd,22 Oct 2007,Interim Dividend - Rs. - 3.0000,23 Oct 2007,-,-,16 Oct 2007,22 Oct 2007,-,TCS
532540,TCS,Tata Consultancy Services Ltd,23 Jan 2008,Interim Dividend - Rs. - 3.0000,24 Jan 2008,-,-,17 Jan 2008,23 Jan 2008,-,TCS
532540,TCS,Tata Consultancy Services Ltd,31 Jul 2008,Interim Dividend - Rs. - 3.0000,01 Aug 2008,-,-,25 Jul 2008,31 Jul 2008,-,TCS
532540,TCS,Tata Consultancy Services Ltd,29 Oct 2008,Interim Dividend - Rs. - 3.0000,31 Oct 2008,-,-,23 Oct 2008,29 Oct 2008,-,TCS
532540,TCS,Tata Consultancy Services Ltd,28 Jan 2009,Interim Dividend - Rs. - 3.0000,29 Jan 2009,-,-,21 Jan 2009,28 Jan 2009,-,TCS
532540,TCS,Tata Consultancy Services Ltd,16 Jun 2009,Final Dividend - Rs. - 5.0000,17 Jun 2009,-,-,10 Jun 2009,16 Jun 2009,-,TCS
532540,TCS,Tata Consultancy Services Ltd,28 Oct 2009,Interim Dividend - Rs. - 2.0000,29 Oct 2009,-,-,22 Oct 2009,28 Oct 2009,-,TCS
532540,TCS,Tata Consultancy Services Ltd,27 Jan 2010,Interim Dividend - Rs. - 2.0000,28 Jan 2010,-,-,20 Jan 2010,27 Jan 2010,-,TCS
532540,TCS,Tata Consultancy Services Ltd,29 Jul 2010,Interim Dividend - Rs. - 2.0000,30 Jul 2010,-,-,23 Jul 2010,29 Jul 2010,-,TCS
532540,TCS,Tata Consultancy Services Ltd,01 Nov 2010,Interim Dividend - Rs. - 2.0000,02 Nov 2010,-,-,26 Oct 2010,01 Nov 2010,-,TCS
532540,TCS,Tata Consultancy Services Ltd,27 Jan 2011,Interim Dividend - Rs. - 2.0000,28 Jan 2011,-,-,20 Jan 2011,27 Jan 2011,-,TCS
532540,TCS,Tata Consultancy Services Ltd,28 Jul 2011,Interim Dividend - Rs. - 3.0000,29 Jul 2011,-,-,22 Jul 2011,28 Jul 2011,-,TCS
532540,TCS,Tata Consultancy Services Ltd,25 Oct 2011,Interim Dividend - Rs. - 3.0000,29 Oct 2011,-,-,20 Oct 2011,26 Oct 2011,-,TCS
532540,TCS,Tata Consultancy Services Ltd,25 Jan 2012,Interim Dividend - Rs. - 3.0000,28 Jan 2012,-,-,20 Jan 2012,25 Jan 2012,-,TCS
532540,TCS,Tata Consultancy Services Ltd,23 Jul 2012,Interim Dividend - Rs. - 3.0000,24 Jul 2012,-,-,17 Jul 2012,23 Jul 2012,-,TCS
532540,TCS,Tata Consultancy Services Ltd,31 Oct 2012,Interim Dividend - Rs. - 3.0000,01 Nov 2012,-,-,23 Oct 2012,31 Oct 2012,-,TCS
532540,TCS,Tata Consultancy Services Ltd,23 Jan 2013,Interim Dividend - Rs. - 3.0000,24 Jan 2013,-,-,17 Jan 2013,22 Jan 2013,-,TCS
532540,TCS,Tata Consultancy Services Ltd,29 Jul 2013,Interim Dividend - Rs. - 4.0000,30 Jul 2013,-,-,23 Jul 2013,29 Jul 2013,13 Aug 2013,TCS
532540,TCS,Tata Consultancy Services Ltd,25 Oct 2013,Interim Dividend - Rs. - 4.0000,28 Oct 2013,-,-,21 Oct 2013,25 Oct 2013,08 Nov 2013,TCS
532540,TCS,Tata Consultancy Services Ltd,27 Jan 2014,Interim Dividend - Rs. - 4.0000,28 Jan 2014,-,-,21 Jan 2014,27 Jan 2014,10 Feb 2014,TCS
532540,TCS,Tata Consultancy Services Ltd,28 Jul 2014,Special Dividend - Rs. - 40.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,08 Aug 2014,TCS
532540,TCS,Tata Consultancy Services Ltd,28 Jul 2014,Interim Dividend - Rs. - 5.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,08 Aug 2014,TCS
532540,TCS,Tata Consultancy Services Ltd,29 Oct 2014,Interim Dividend - Rs. - 5.0000,30 Oct 2014,-,-,21 Oct 2014,29 Oct 2014,11 Nov 2014,TCS
532540,TCS,Tata Consultancy Services Ltd,27 Jan 2015,Interim Dividend - Rs. - 5.0000,28 Jan 2015,-,-,20 Jan 2015,27 Jan 2015,09 Feb 2015,TCS
532540,TCS,Tata Consultancy Services Ltd,20 Jul 2015,Interim Dividend - Rs. - 5.5000,21 Jul 2015,-,-,14 Jul 2015,20 Jul 2015,-,TCS
532540,TCS,Tata Consultancy Services Ltd,23 Oct 2015,Interim Dividend - Rs. - 5.5000,26 Oct 2015,-,-,16 Oct 2015,23 Oct 2015,-,TCS
532540,TCS,Tata Consultancy Services Ltd,21 Jan 2016,Interim Dividend - Rs. - 5.5000,22 Jan 2016,-,-,15 Jan 2016,21 Jan 2016,-,TCS
532540,TCS,Tata Consultancy Services Ltd,25 Jul 2016,Interim Dividend - Rs. - 6.5000,26 Jul 2016,-,-,19 Jul 2016,25 Jul 2016,-,TCS
532540,TCS,Tata Consultancy Services Ltd,24 Oct 2016,Interim Dividend - Rs. - 6.5000,25 Oct 2016,-,-,18 Oct 2016,24 Oct 2016,-,TCS
532540,TCS,Tata Consultancy Services Ltd,23 Jan 2017,Interim Dividend - Rs. - 6.5000,24 Jan 2017,-,-,17 Jan 2017,23 Jan 2017,-,TCS
532540,TCS,Tata Consultancy Services Ltd,24 Jul 2017,Interim Dividend - Rs. - 7.0000,25 Jul 2017,-,-,18 Jul 2017,24 Jul 2017,-,TCS
532540,TCS,Tata Consultancy Services Ltd,25 Oct 2017,Interim Dividend - Rs. - 7.0000,26 Oct 2017,-,-,17 Oct 2017,25 Oct 2017,-,TCS
532540,TCS,Tata Consultancy Services Ltd,22 Jan 2018,Interim Dividend - Rs. - 7.0000,23 Jan 2018,-,-,16 Jan 2018,22 Jan 2018,-,TCS
532540,TCS,Tata Consultancy Services Ltd,31 May 2018,Final Dividend - Rs. - 29.0000,02 Jun 2018,-,-,28 May 2018,31 May 2018,-,TCS
532540,TCS,Tata Consultancy Services Ltd,17 Jul 2018,Interim Dividend - Rs. - 4.0000,18 Jul 2018,-,-,11 Jul 2018,17 Jul 2018,-,TCS
