SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,Company
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 12 Per Share,1,15-Jul-2026,15-Jul-2026,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 31 Per Share,1,25-May-2026,25-May-2026,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share,1,16-Jan-2026,17-Jan-2026,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 11 Per Share,1,15-Oct-2025,15-Oct-2025,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 11 Per Share,1,16-Jul-2025,16-Jul-2025,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 30 Per Share,1,04-Jun-2025,04-Jun-2025,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 10 Per Share Special Dividend - Rs 66 Per Share,1,17-Jan-2025,17-Jan-2025,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 10 Per Share,1,18-Oct-2024,18-Oct-2024,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 10 Per Share,1,19-Jul-2024,20-Jul-2024,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 28 Per Share,1,16-May-2024,16-May-2024,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share,1,19-Jan-2024,19-Jan-2024,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Buy Back,1,24-Nov-2023,25-Nov-2023,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share,1,19-Oct-2023,19-Oct-2023,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share,1,20-Jul-2023,20-Jul-2023,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 24 Per Share,1,15-Jun-2023,15-Jun-2023,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share,1,16-Jan-2023,17-Jan-2023,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 8 Per Share,1,17-Oct-2022,18-Oct-2022,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend- Rs 8 Per Share,1,14-Jul-2022,16-Jul-2022,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 22 Per Share,1,25-May-2022,26-May-2022,-,-,TCS
TCS,Tata Consultancy Services Limited,EQ,Buyback,1,22-Feb-2022,23-Feb-2022,-,-,TCS
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 6 Per Share,10,05-Jun-2026,05-Jun-2026,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 5.5 Per Share,10,14-Aug-2025,14-Aug-2025,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Bonus 1:1,10,28-Oct-2024,28-Oct-2024,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 10 Per Share,10,19-Aug-2024,19-Aug-2024,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 9 Per Share,10,21-Aug-2023,21-Aug-2023,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Demerger,10,20-Jul-2023,20-Jul-2023,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 8 Per Share,10,18-Aug-2022,19-Aug-2022,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 7 Per Share,10,11-Jun-2021,14-Jun-2021,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 6.50  Per Share,10,02-Jul-2020,03-Jul-2020,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Rights 1:15 @ Premium Rs 1247,10,13-May-2020,14-May-2020,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Annual General Meeting/Dividend - Rs 6.50 Per Share,10,02-Aug-2019,05-Aug-2019,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Dividend- Rs 6 Per Share,10,27-Jun-2018,28-Jun-2018,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Bonus 1:1,10,07-Sep-2017,09-Sep-2017,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Dividend -  Rs 11/- Per Share,10,13-Jul-2017,14-Jul-2017,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ, Interim Dividend - Rs 10.50/- Per Share (Purpose Revised),10,17-Mar-2016,18-Mar-2016,-,-,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 10/- Per Share,10,08-May-2015,-,12-May-2015,15-May-2015,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend Rs. 9.50 Per Equity Share,10,16-May-2014,-,20-May-2014,23-May-2014,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Annual General Meeting/ Dividend Rs. 9 Per Equity Share,10,10-May-2013,-,14-May-2013,18-May-2013,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Annual General Meeting And Dividend Rs.8.50 Per Share,10,31-May-2012,-,02-Jun-2012,07-Jun-2012,Reliance Industries
RELIANCE,Reliance Industries Limited,EQ,Dividend-Rs.8/- Per Share,10,05-May-2011,-,09-May-2011,14-May-2011,Reliance Industries
HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 13 Per Share,1,19-Jun-2026,19-Jun-2026,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Bonus 1:1,1,26-Aug-2025,27-Aug-2025,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Special Dividend - Rs 5 Per Share,1,25-Jul-2025,25-Jul-2025,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 22 Per Share,1,27-Jun-2025,27-Jun-2025,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 19.50 Per Share,1,10-May-2024,10-May-2024,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 19 Per Share,1,16-May-2023,16-May-2023,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Dividend - Rs 15.50 Per Share,1,12-May-2022,13-May-2022,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 6.50 Per Share,1,29-Jun-2021,30-Jun-2021,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,1,19-Sep-2019,20-Sep-2019,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Special Dividend - Rs 5 Per Share,1,01-Aug-2019,02-Aug-2019,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Dividend Rs 15 Per Sh,1,20-Jun-2019,21-Jun-2019,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Dividend- Rs 13 Per Share,1,31-May-2018,01-Jun-2018,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 11/- Per Share,1,29-Jun-2017,30-Jun-2017,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ, Dividend - Rs 9.50/- Per Share,1,29-Jun-2016,30-Jun-2016,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting/ Dividend - Rs 8/- Per Share,1,02-Jul-2015,-,04-Jul-2015,21-Jul-2015,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend - Rs.6.85/- Per Share,1,05-Jun-2014,-,07-Jun-2014,25-Jun-2014,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting / Final Dividend Rs.5.50/- Per Equity Share,1,13-Jun-2013,-,15-Jun-2013,27-Jun-2013,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend Rs.4.30 Per Share,1,28-Jun-2012,-,01-Jul-2012,13-Jul-2012,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,1,14-Jul-2011,16-Jul-2011,-,-,HDFC Bank
HDFCBANK,HDFC Bank Limited,EQ,Annual General Meeting And Dividend Rs.16.50 Per Share,1,02-Jun-2011,-,04-Jun-2011,10-Jun-2011,HDFC Bank
SBIN,State Bank of India,EQ,Dividend - Rs 17.35 Per Share,1,15-May-2026,16-May-2026,-,-,State Bank of India
SBIN,State Bank of India,EQ,Dividend - Rs 15.90 Per Share,1,16-May-2025,16-May-2025,-,-,State Bank of India
SBIN,State Bank of India,EQ,Dividend - Rs 13.70 Per Share,1,22-May-2024,22-May-2024,-,-,State Bank of India
SBIN,State Bank of India,EQ,Dividend - Rs 11.30 Per Share,1,31-May-2023,-,01-Jun-2023,05-Jun-2023,State Bank of India
SBIN,State Bank of India,EQ,Dividend - Rs 7.10 Per Share,1,25-May-2022,-,27-May-2022,31-May-2022,State Bank of India
SBIN,State Bank of India,EQ, Dividend - Rs 4 Per Share,1,03-Jun-2021,04-Jun-2021,-,-,State Bank of India
SBIN,State Bank of India,EQ, Annual General Meeting/ Change In Registrar And Transfer Agent,1,15-Jun-2018,-,19-Jun-2018,28-Jun-2018,State Bank of India
SBIN,State Bank of India,EQ, Dividend - Rs 2.60 Per Share (Purpose Revised),1,26-May-2017,-,30-May-2017,03-Jun-2017,State Bank of India
SBIN,State Bank of India,EQ, Dividend - Rs 2.60/- Per Share,1,03-Jun-2016,-,07-Jun-2016,11-Jun-2016,State Bank of India
SBIN,State Bank of India,EQ,Dividend - Rs 3.50/- Per Share (Purpose Revised),1,28-May-2015,-,30-May-2015,03-Jun-2015,State Bank of India
SBIN,State Bank of India,EQ,Face Value Split Rs.10/- To Re.1/- Per Share,1,20-Nov-2014,21-Nov-2014,-,-,State Bank of India
SBIN,State Bank of India,EQ,Annual General Meeting And Dividend Rs 15 Per Share (Purpose Revised),1,29-May-2014,-,31-May-2014,04-Jun-2014,State Bank of India
SBIN,State Bank of India,EQ,Interim Dividend Rs 15 Per Share,1,11-Mar-2014,-,13-Mar-2014,17-Mar-2014,State Bank of India
SBIN,State Bank of India,EQ,Dividend Rs 41.50 Per Share (Purpose Revised),1,28-May-2013,-,30-May-2013,03-Jun-2013,State Bank of India
SBIN,State Bank of India,EQ,Annual General Meeting And Dividend Rs 35 Per Share (Purpose Revised),1,24-May-2012,-,26-May-2012,31-May-2012,State Bank of India
SBIN,State Bank of India,EQ,Dividend-Rs.30/- Per Share (Purpose Revised),1,20-May-2011,-,24-May-2011,28-May-2011,State Bank of India
SBIN,State Bank of India,EQ,Final Dividend-Rs.20/- Per Share (Purpose Revised),1,09-Jun-2010,-,11-Jun-2010,16-Jun-2010,State Bank of India
SBIN,State Bank of India,EQ,Int Div-Rs.10/- Per Share,1,05-Feb-2010,-,09-Feb-2010,13-Feb-2010,State Bank of India
SBIN,State Bank of India,EQ,Dividend-Rs.29/ Per Share,1,10-Jun-2009,-,12-Jun-2009,19-Jun-2009,State Bank of India
SBIN,State Bank of India,EQ,Div-Rs.21.50 Per Share,1,29-May-2008,-,02-Jun-2008,11-Jun-2008,State Bank of India
INFY,Infosys Limited,EQ,Dividend - Rs 25 Per Share,5,10-Jun-2026,10-Jun-2026,-,-,Infosys
INFY,Infosys Limited,EQ,Buy Back,5,14-Nov-2025,14-Nov-2025,-,-,Infosys
INFY,Infosys Limited,EQ,Interim Dividend - Rs 23 Per Share,5,27-Oct-2025,27-Oct-2025,-,-,Infosys
INFY,Infosys Limited,EQ,Dividend - Rs 22 Per Share,5,30-May-2025,30-May-2025,-,-,Infosys
INFY,Infosys Limited,EQ,Interim Dividend - Rs 21 Per Share,5,29-Oct-2024,29-Oct-2024,-,-,Infosys
INFY,Infosys Limited,EQ,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share,5,31-May-2024,31-May-2024,-,-,Infosys
INFY,Infosys Limited,EQ,Interim Dividend - Rs 18 Per Share,5,25-Oct-2023,25-Oct-2023,-,-,Infosys
INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 17.50 Per Share,5,02-Jun-2023,02-Jun-2023,-,-,Infosys
INFY,Infosys Limited,EQ,Interim Dividend - Rs 16.50 Per Share,5,27-Oct-2022,28-Oct-2022,-,-,Infosys
INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 16 Per Share,5,31-May-2022,01-Jun-2022,-,-,Infosys
INFY,Infosys Limited,EQ, Interim Dividend - Rs 15 Per Sh,5,26-Oct-2021,27-Oct-2021,-,-,Infosys
INFY,Infosys Limited,EQ, Annual General Meeting/Dividend - Rs 15 Per Share,5,31-May-2021,01-Jun-2021,-,-,Infosys
INFY,Infosys Limited,EQ, Interim Dividend - Rs 12 Per Share,5,23-Oct-2020,26-Oct-2020,-,-,Infosys
INFY,Infosys Limited,EQ, Dividend - Rs 9.50 Per Share,5,29-May-2020,01-Jun-2020,-,-,Infosys
INFY,Infosys Limited,EQ, Interim Dividend - Rs 8 Per Share,5,23-Oct-2019,24-Oct-2019,-,-,Infosys
INFY,Infosys Limited,EQ, Annual General Meeting/Dividend- Rs 10.50 Per Share,5,13-Jun-2019,-,15-Jun-2019,15-Jun-2019,Infosys
INFY,Infosys Limited,EQ, Special Dividend - Rs 4 Per Share,5,24-Jan-2019,25-Jan-2019,-,-,Infosys
INFY,Infosys Limited,EQ, Interim Dividend - Rs 7 Per Share,5,25-Oct-2018,27-Oct-2018,-,-,Infosys
INFY,Infosys Limited,EQ, Bonus 1:1,5,04-Sep-2018,05-Sep-2018,-,-,Infosys
INFY,Infosys Limited,EQ, Annual General Meeting/ Final Dividend Rs 20.50 Per Shar/ Special Dividend - Rs 10 Per Share,5,14-Jun-2018,-,16-Jun-2018,16-Jun-2018,Infosys
AARTIIND,Aarti Industries Limited,EQ,Dividend - Re 1 Per Share,5,11-Sep-2026,14-Sep-2026,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Dividend - Re 1 Per Share,5,18-Aug-2025,18-Aug-2025,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Dividend - Re 1 Per Share,5,26-Jul-2024,26-Jul-2024,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Dividend - Rs 1.50 Per Share,5,28-Jul-2023,28-Jul-2023,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Interim Dividend - Re 1 Per Share,5,15-Feb-2023,15-Feb-2023,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Demerger,5,19-Oct-2022,20-Oct-2022,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Dividend - Rs 1.50 Per Share,5,16-Sep-2022,19-Sep-2022,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ,Interim Dividend - Re 1 Per Share,5,15-Feb-2022,16-Feb-2022,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Interim Dividend - Re 1 Per Share,5,10-Nov-2021,11-Nov-2021,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Dividend - Rs 1.50 Per Share,5,20-Sep-2021,21-Sep-2021,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Bonus 1:1,5,22-Jun-2021,23-Jun-2021,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Interim Dividend - Rs 1.50 Per Share,5,19-Nov-2020,20-Nov-2020,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Dividend - Re 1 Per Share,5,10-Sep-2020,11-Sep-2020,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Interim Dividend - Rs 2.5 Per Share,5,24-Feb-2020,25-Feb-2020,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Bonus 1:1,5,27-Sep-2019,30-Sep-2019,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Annual General Meeting/Dividend - Rs 7 Per Share,5,27-Aug-2019,28-Aug-2019,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Scheme Of Demerger,5,03-Jul-2019,04-Jul-2019,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Interim Dividend - Rs 4 Per Share,5,12-Feb-2019,13-Feb-2019,-,-,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Annual General Meeting/Dividend- Re 1 Per Share,5,11-Sep-2018,-,14-Sep-2018,21-Sep-2018,Aarti Industries Limited
AARTIIND,Aarti Industries Limited,EQ, Buyback,5,04-Jan-2018,05-Jan-2018,-,-,Aarti Industries Limited
